feature,mean_abs_shap
morgan_bit_1369,0.0
morgan_bit_1579,0.0
morgan_bit_1368,0.0
morgan_bit_1367,0.0
morgan_bit_73,0.0
morgan_bit_1364,0.0
morgan_bit_1363,0.0
morgan_bit_75,0.0
morgan_bit_1181,0.0
morgan_bit_1361,0.0
morgan_bit_1360,0.0
morgan_bit_1359,0.0
morgan_bit_1182,0.0
morgan_bit_1358,0.0
morgan_bit_76,0.0
morgan_bit_1183,0.0
morgan_bit_1356,0.0
morgan_bit_1355,0.0
morgan_bit_1375,0.0
morgan_bit_1376,0.0
morgan_bit_1377,0.0
morgan_bit_1393,0.0
morgan_bit_1403,0.0
morgan_bit_1402,0.0
morgan_bit_1401,0.0
morgan_bit_1400,0.0
morgan_bit_1399,0.0
morgan_bit_1398,0.0
morgan_bit_1397,0.0
morgan_bit_1396,0.0
morgan_bit_1395,0.0
morgan_bit_1394,0.0
morgan_bit_1392,0.0
morgan_bit_1378,0.0
morgan_bit_1390,0.0
morgan_bit_1389,0.0
morgan_bit_1388,0.0
morgan_bit_1387,0.0
morgan_bit_71,0.0
morgan_bit_72,0.0
morgan_bit_1384,0.0
morgan_bit_1382,0.0
morgan_bit_1381,0.0
morgan_bit_1379,0.0
morgan_bit_1354,0.0
morgan_bit_1353,0.0
morgan_bit_1303,0.0
morgan_bit_1185,0.0
morgan_bit_1326,0.0
morgan_bit_78,0.0
morgan_bit_1324,0.0
morgan_bit_1323,0.0
morgan_bit_1322,0.0
morgan_bit_1321,0.0
morgan_bit_1320,0.0
morgan_bit_1319,0.0
morgan_bit_1318,0.0
morgan_bit_1317,0.0
morgan_bit_1316,0.0
morgan_bit_1315,0.0
morgan_bit_1314,0.0
morgan_bit_1313,0.0
morgan_bit_1312,0.0
morgan_bit_1311,0.0
morgan_bit_1310,0.0
morgan_bit_1187,0.0
morgan_bit_1307,0.0
morgan_bit_1306,0.0
morgan_bit_1305,0.0
morgan_bit_1304,0.0
morgan_bit_1188,0.0
morgan_bit_1327,0.0
morgan_bit_1328,0.0
morgan_bit_1329,0.0
morgan_bit_1343,0.0
morgan_bit_1352,0.0
morgan_bit_1351,0.0
morgan_bit_1350,0.0
morgan_bit_77,0.0
morgan_bit_1348,0.0
morgan_bit_1186,0.0
morgan_bit_1347,0.0
morgan_bit_1346,0.0
morgan_bit_1345,0.0
morgan_bit_1344,0.0
morgan_bit_1342,0.0
morgan_bit_1330,0.0
morgan_bit_1340,0.0
morgan_bit_1339,0.0
morgan_bit_1338,0.0
morgan_bit_1337,0.0
morgan_bit_1336,0.0
morgan_bit_1335,0.0
morgan_bit_1334,0.0
morgan_bit_1333,0.0
morgan_bit_1332,0.0
morgan_bit_1331,0.0
morgan_bit_1578,0.0
morgan_bit_196,0.0
morgan_bit_1580,0.0
morgan_bit_1582,0.0
morgan_bit_1907,0.0
morgan_bit_1906,0.0
morgan_bit_26,0.0
morgan_bit_1904,0.0
morgan_bit_1903,0.0
morgan_bit_1902,0.0
morgan_bit_1901,0.0
morgan_bit_1900,0.0
morgan_bit_1899,0.0
morgan_bit_1898,0.0
morgan_bit_1897,0.0
morgan_bit_1896,0.0
morgan_bit_1895,0.0
morgan_bit_1894,0.0
morgan_bit_1893,0.0
morgan_bit_1892,0.0
morgan_bit_1891,0.0
morgan_bit_1890,0.0
morgan_bit_1889,0.0
morgan_bit_1888,0.0
morgan_bit_27,0.0
morgan_bit_1886,0.0
morgan_bit_1885,0.0
morgan_bit_1884,0.0
morgan_bit_1883,0.0
morgan_bit_1908,0.0
morgan_bit_25,0.0
morgan_bit_1910,0.0
morgan_bit_1925,0.0
morgan_bit_1936,0.0
morgan_bit_1935,0.0
morgan_bit_1934,0.0
morgan_bit_1933,0.0
morgan_bit_1932,0.0
morgan_bit_1931,0.0
morgan_bit_1930,0.0
morgan_bit_1929,0.0
morgan_bit_21,0.0
morgan_bit_1927,0.0
morgan_bit_1926,0.0
morgan_bit_1924,0.0
morgan_bit_24,0.0
morgan_bit_1923,0.0
morgan_bit_1922,0.0
morgan_bit_22,0.0
morgan_bit_1919,0.0
morgan_bit_1918,0.0
morgan_bit_23,0.0
morgan_bit_1916,0.0
morgan_bit_1915,0.0
morgan_bit_1914,0.0
morgan_bit_1913,0.0
morgan_bit_1912,0.0
morgan_bit_1882,0.0
morgan_bit_1881,0.0
morgan_bit_1880,0.0
morgan_bit_1835,0.0
morgan_bit_1848,0.0
morgan_bit_1847,0.0
morgan_bit_1846,0.0
morgan_bit_1845,0.0
morgan_bit_30,0.0
morgan_bit_1843,0.0
morgan_bit_1842,0.0
morgan_bit_1841,0.0
morgan_bit_31,0.0
morgan_bit_1837,0.0
morgan_bit_1836,0.0
morgan_bit_1834,0.0
morgan_bit_1850,0.0
morgan_bit_1833,0.0
morgan_bit_1831,0.0
morgan_bit_1830,0.0
morgan_bit_1829,0.0
morgan_bit_1827,0.0
morgan_bit_1826,0.0
morgan_bit_1825,0.0
morgan_bit_1824,0.0
morgan_bit_1823,0.0
morgan_bit_1822,0.0
morgan_bit_1821,0.0
morgan_bit_1849,0.0
morgan_bit_1851,0.0
morgan_bit_1879,0.0
morgan_bit_1867,0.0
morgan_bit_1878,0.0
morgan_bit_1877,0.0
morgan_bit_1876,0.0
morgan_bit_1875,0.0
morgan_bit_1874,0.0
morgan_bit_28,0.0
morgan_bit_1872,0.0
morgan_bit_1871,0.0
morgan_bit_1870,0.0
morgan_bit_1869,0.0
morgan_bit_1868,0.0
morgan_bit_1865,0.0
morgan_bit_1852,0.0
morgan_bit_1864,0.0
morgan_bit_1863,0.0
morgan_bit_1861,0.0
morgan_bit_1860,0.0
morgan_bit_1859,0.0
morgan_bit_1858,0.0
morgan_bit_1857,0.0
morgan_bit_1856,0.0
morgan_bit_29,0.0
morgan_bit_1854,0.0
morgan_bit_1853,0.0
morgan_bit_1937,0.0
morgan_bit_20,0.0
morgan_bit_1939,0.0
morgan_bit_2015,0.0
morgan_bit_2027,0.0
morgan_bit_2026,0.0
morgan_bit_2025,0.0
morgan_bit_2024,0.0
morgan_bit_2023,0.0
morgan_bit_2022,0.0
morgan_bit_2020,0.0
morgan_bit_2019,0.0
morgan_bit_2018,0.0
morgan_bit_15,0.0
morgan_bit_2016,0.0
morgan_bit_2014,0.0
morgan_bit_2029,0.0
morgan_bit_2013,0.0
morgan_bit_2012,0.0
morgan_bit_2011,0.0
morgan_bit_2010,0.0
morgan_bit_2009,0.0
morgan_bit_2008,0.0
morgan_bit_2007,0.0
morgan_bit_2006,0.0
morgan_bit_2005,0.0
morgan_bit_2004,0.0
morgan_bit_2003,0.0
morgan_bit_2028,0.0
morgan_bit_2030,0.0
morgan_bit_2001,0.0
morgan_bit_2044,0.0
morgan_bit_2,0.0
morgan_bit_3,0.0
morgan_bit_5,0.0
morgan_bit_6,0.0
morgan_bit_7,0.0
morgan_bit_8,0.0
morgan_bit_10,0.0
morgan_bit_11,0.0
morgan_bit_2047,0.0
morgan_bit_2046,0.0
morgan_bit_2045,0.0
morgan_bit_2043,0.0
morgan_bit_12,0.0
morgan_bit_2042,0.0
morgan_bit_2041,0.0
morgan_bit_2040,0.0
morgan_bit_2039,0.0
morgan_bit_2038,0.0
morgan_bit_2037,0.0
morgan_bit_2036,0.0
morgan_bit_2035,0.0
morgan_bit_2034,0.0
morgan_bit_2033,0.0
morgan_bit_2032,0.0
morgan_bit_2002,0.0
morgan_bit_2000,0.0
morgan_bit_1940,0.0
morgan_bit_1957,0.0
morgan_bit_1969,0.0
morgan_bit_1968,0.0
morgan_bit_1967,0.0
morgan_bit_1966,0.0
morgan_bit_1965,0.0
morgan_bit_1964,0.0
morgan_bit_1962,0.0
morgan_bit_1961,0.0
morgan_bit_1960,0.0
morgan_bit_1959,0.0
morgan_bit_1958,0.0
morgan_bit_1956,0.0
morgan_bit_1971,0.0
morgan_bit_1955,0.0
